Subsystem;Name;VID;DataType;VariableType;Unit;Description;HOST Changeable
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0607;MaximumTemperatureTolerance;121029;F4;EquipmentConstant;°C;Specifies the maximum allowed temperature difference between setpoint and sensor.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0607;MinimumTemperature;121030;F4;EquipmentConstant;°C;Specifies the minimum allowed temperature (Temperature Reference Sensor + Temperature Offset or 21.5°C if no sensor is configured).;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0607;TakeoverStressReleaseTime;121031;I4;EquipmentConstant;ms;Specifies the time period the vacuum is switched off to release the loading stress. Value = 0 means no stress release.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0607;TemperatureOffset;121032;F4;EquipmentConstant;°C;Specifies the offset for the minimum and maximum temperature;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0607.VacuumArea;DefaultPressure;121033;F8;EquipmentConstant;mbar;Specifies the default pressure setpoint when purging. E.g. 1000 mbar. The pressure value is positive compared to the ambient pressure.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0607.VacuumArea;DefaultVacuum;121034;F8;EquipmentConstant;mbar;Specifies the default vacuum setpoint when evacuating. E.g. -800 mbar. The vacuum value is negative compared to the ambient pressure.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0607.VacuumArea;PurgeRamp;121035;F8;EquipmentConstant;mbar;Specifies the default purge ramp interval per second up to the controlled purge (So the unit is Millibar per second). Value = 0 means no ramp.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0607.VacuumArea;TakeoverVacuum;121036;F8;EquipmentConstant;mbar;Specifies the vacuum value when evacuating before wafer is taken over.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0607.VacuumArea;VacuumRamp;121037;F8;EquipmentConstant;mbar;Specifies the default vacuum ramp interval per second up to the controlled vacuum (So the unit is Millibar per second). Value = 0 means no ramp.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0607.VacuumArea;VacuumThreshold;121038;F8;EquipmentConstant;mbar;Specifies the threshold of the vacuum which indicates available or leaking. The vacuum value is negative compared to the ambient pressure. E.g. Vacuum = -750 mBar and Threshold = -800 mBar means 'Leaking'       Vacuum = -810 mBar and Threshold = -800 mBar means 'Available';False
